Sum of count3,
Row Labels,Total
District of Columbia,2
Vermont,4
Rhode Island,5
Hawaii,8
Delaware,10
New Hampshire,14
Maine,18
New Jersey,21
Wyoming,29
North Dakota,31
Alaska,33
South Dakota,36
Idaho,39
Oregon,40
Connecticut,46
Maryland,50
Montana,53
Utah,53
New Mexico,75
New York,97
Nevada,103
Nebraska,104
Massachusetts,108
South Carolina,152
Washington,156
Kansas,177
Pennsylvania,181
Colorado,187
West Virginia,202
Oklahoma,207
Virginia,269
North Carolina,295
Missouri,344
Arizona,355
Iowa,397
Minnesota,474
California,526
Louisiana,529
Florida,673
Michigan,679
Georgia,933
Texas,937
Arkansas,944
Alabama,1070
Tennessee,1090
Ohio,1121
Kentucky,1226
Wisconsin,1647
Mississippi,4296
Indiana,7747
Illinois,22051
Grand Total,49844
